-1.000000	0.007927
-0.980000	0.004955
-0.960000	0.005110
-0.940000	0.005629
-0.920000	0.005735
-0.900000	0.006520
-0.880000	0.006785
-0.860000	0.007270
-0.840000	0.008497
-0.820000	0.011536
-0.800000	0.015326
-0.780000	0.019567
-0.760000	0.024469
-0.740000	0.029864
-0.720000	0.036819
-0.700000	0.044650
-0.680000	0.054097
-0.660000	0.064394
-0.640000	0.076392
-0.620000	0.088387
-0.600000	0.100369
-0.580000	0.112361
-0.560000	0.124400
-0.540000	0.136576
-0.520000	0.150273
-0.500000	0.163970
-0.480000	0.177247
-0.460000	0.190524
-0.440000	0.203618
-0.420000	0.216695
-0.400000	0.228804
-0.380000	0.240720
-0.360000	0.252275
-0.340000	0.263711
-0.320000	0.274781
-0.300000	0.285667
-0.280000	0.296260
-0.260000	0.306644
-0.240000	0.317260
-0.220000	0.328109
-0.200000	0.338983
-0.180000	0.349893
-0.160000	0.360954
-0.140000	0.372316
-0.120000	0.383681
-0.100000	0.395057
-0.080000	0.406288
-0.060000	0.416796
-0.040000	0.427440
-0.020000	0.439579
0.000000	0.451719
0.020000	0.460780
0.040000	0.469841
0.060000	0.480921
0.080000	0.492186
0.100000	0.503513
0.120000	0.514853
0.140000	0.526843
0.160000	0.539050
0.180000	0.551392
0.200000	0.563802
0.220000	0.577061
0.240000	0.590927
0.260000	0.605105
0.280000	0.619596
0.300000	0.633642
0.320000	0.647066
0.340000	0.660864
0.360000	0.675412
0.380000	0.689678
0.400000	0.703099
0.420000	0.716387
0.440000	0.729001
0.460000	0.741621
0.480000	0.754303
0.500000	0.766985
0.520000	0.779027
0.540000	0.791069
0.560000	0.803642
0.580000	0.816262
0.600000	0.828885
0.620000	0.841509
0.640000	0.854523
0.660000	0.867666
0.680000	0.882797
0.700000	0.898922
0.720000	0.907666
0.740000	0.912407
0.760000	0.916965
0.780000	0.921473
0.800000	0.929363
0.820000	0.937898
0.840000	0.947511
0.860000	0.956653
0.880000	0.966058
0.900000	0.975605
0.920000	0.984771
0.940000	0.993723
0.960000	1.000000
0.980000	0.999171
1.000000	0.958650
