energy_center_gev track_center_m mu_fitted sigma_fitted
14.275958 11.587984 -1.354927 0.264947
14.275958 15.625224 -1.369940 0.213228
14.275958 21.069035 -1.414547 0.176900
14.275958 28.409463 -1.419678 0.153256
14.275958 38.307288 -1.446849 0.132656
14.275958 51.653503 -1.467236 0.117127
14.275958 69.649526 -1.463161 0.106811
14.275958 93.915342 -1.460101 0.097998
14.275958 126.635341 -1.426001 0.088976
19.622899 0.432520 -1.049242 0.629736
19.622899 0.583209 -1.086520 0.612617
19.622899 0.786398 -1.119230 0.591717
19.622899 1.060378 -1.150484 0.566464
19.622899 1.429813 -1.183075 0.536496
19.622899 1.927958 -1.219794 0.501448
19.622899 2.599657 -1.262701 0.460824
19.622899 3.505374 -1.313322 0.420396
19.622899 4.726642 -1.348768 0.379599
19.622899 6.373399 -1.346486 0.336420
19.622899 8.593884 -1.336550 0.292315
19.622899 11.587984 -1.345704 0.250031
19.622899 15.625224 -1.364772 0.211991
19.622899 21.069035 -1.370097 0.181396
19.622899 28.409463 -1.363792 0.159528
19.622899 38.307288 -1.384459 0.138049
19.622899 51.653503 -1.419527 0.118026
19.622899 69.649526 -1.436281 0.104177
19.622899 93.915342 -1.435117 0.095668
19.622899 126.635341 -1.426001 0.088976
26.972491 0.432520 -1.011316 0.618771
26.972491 0.583209 -1.051910 0.594016
26.972491 0.786398 -1.096782 0.573647
26.972491 1.060378 -1.137497 0.553178
26.972491 1.429813 -1.173424 0.528772
26.972491 1.927958 -1.210199 0.499221
26.972491 2.599657 -1.251678 0.461563
26.972491 3.505374 -1.305372 0.416777
26.972491 4.726642 -1.326278 0.370340
26.972491 6.373399 -1.327328 0.327107
26.972491 8.593884 -1.318942 0.280784
26.972491 11.587984 -1.328853 0.242060
26.972491 15.625224 -1.347150 0.208832
26.972491 21.069035 -1.361130 0.178870
26.972491 28.409463 -1.349169 0.158502
26.972491 38.307288 -1.351807 0.138741
26.972491 51.653503 -1.380968 0.118110
26.972491 69.649526 -1.397466 0.103524
26.972491 93.915342 -1.399629 0.094248
26.972491 126.635341 -1.404437 0.086330
37.074811 0.432520 -0.991213 0.646312
37.074811 0.583209 -1.033478 0.613290
37.074811 0.786398 -1.077834 0.582258
37.074811 1.060378 -1.121767 0.550933
37.074811 1.429813 -1.166257 0.520477
37.074811 1.927958 -1.207361 0.490340
37.074811 2.599657 -1.246521 0.453196
37.074811 3.505374 -1.285550 0.407089
37.074811 4.726642 -1.298680 0.355318
37.074811 6.373399 -1.299475 0.315848
37.074811 8.593884 -1.295839 0.274151
37.074811 11.587984 -1.306215 0.238505
37.074811 15.625224 -1.325695 0.207640
37.074811 21.069035 -1.344150 0.178923
37.074811 28.409463 -1.350598 0.155227
37.074811 38.307288 -1.346259 0.136096
37.074811 51.653503 -1.352362 0.117598
37.074811 69.649526 -1.363788 0.103004
37.074811 93.915342 -1.372257 0.092378
37.074811 126.635341 -1.381834 0.083379
50.960871 0.432520 -0.952636 0.674915
50.960871 0.583209 -1.001878 0.639454
50.960871 0.786398 -1.050757 0.603590
50.960871 1.060378 -1.098533 0.566768
50.960871 1.429813 -1.144656 0.528510
50.960871 1.927958 -1.188573 0.488336
50.960871 2.599657 -1.230226 0.446078
50.960871 3.505374 -1.260300 0.397177
50.960871 4.726642 -1.274052 0.347147
50.960871 6.373399 -1.274534 0.307041
50.960871 8.593884 -1.273613 0.272208
50.960871 11.587984 -1.284543 0.237697
50.960871 15.625224 -1.305469 0.206888
50.960871 21.069035 -1.326577 0.179036
50.960871 28.409463 -1.341041 0.154438
50.960871 38.307288 -1.342831 0.133851
50.960871 51.653503 -1.338194 0.116747
50.960871 69.649526 -1.341920 0.102557
50.960871 93.915342 -1.350436 0.091377
50.960871 126.635341 -1.360938 0.081766
70.047838 0.432520 -0.875744 0.682472
70.047838 0.583209 -0.926626 0.643090
70.047838 0.786398 -0.980320 0.604471
70.047838 1.060378 -1.034747 0.565903
70.047838 1.429813 -1.090036 0.527443
70.047838 1.927958 -1.143119 0.486965
70.047838 2.599657 -1.195106 0.444737
70.047838 3.505374 -1.239540 0.402398
70.047838 4.726642 -1.256051 0.352668
70.047838 6.373399 -1.260354 0.315614
70.047838 8.593884 -1.255584 0.277866
70.047838 11.587984 -1.268945 0.238091
70.047838 15.625224 -1.289810 0.206601
70.047838 21.069035 -1.311416 0.177871
70.047838 28.409463 -1.323931 0.155415
70.047838 38.307288 -1.321448 0.136514
70.047838 51.653503 -1.321422 0.118699
70.047838 69.649526 -1.326293 0.103380
70.047838 93.915342 -1.332221 0.091843
70.047838 126.635341 -1.340756 0.082248
96.283669 0.432520 -0.783838 0.687162
96.283669 0.583209 -0.842488 0.649274
96.283669 0.786398 -0.903718 0.612307
96.283669 1.060378 -0.963058 0.572854
96.283669 1.429813 -1.022733 0.531815
96.283669 1.927958 -1.083721 0.489894
96.283669 2.599657 -1.145737 0.447363
96.283669 3.505374 -1.206411 0.406318
96.283669 4.726642 -1.238046 0.364619
96.283669 6.373399 -1.244622 0.325977
96.283669 8.593884 -1.240110 0.287555
96.283669 11.587984 -1.253921 0.245513
96.283669 15.625224 -1.275650 0.207895
96.283669 21.069035 -1.293452 0.179283
96.283669 28.409463 -1.298975 0.159924
96.283669 38.307288 -1.300132 0.141134
96.283669 51.653503 -1.307080 0.121548
96.283669 69.649526 -1.312731 0.105184
96.283669 93.915342 -1.315568 0.093648
96.283669 126.635341 -1.320569 0.084294
132.345911 0.432520 -0.706684 0.713128
132.345911 0.583209 -0.768964 0.674055
132.345911 0.786398 -0.830458 0.631893
132.345911 1.060378 -0.892533 0.588254
132.345911 1.429813 -0.956051 0.543813
132.345911 1.927958 -1.021489 0.498265
132.345911 2.599657 -1.087747 0.452204
132.345911 3.505374 -1.156774 0.412056
132.345911 4.726642 -1.209528 0.373776
132.345911 6.373399 -1.224763 0.334721
132.345911 8.593884 -1.226022 0.295426
132.345911 11.587984 -1.240140 0.252450
132.345911 15.625224 -1.260609 0.212693
132.345911 21.069035 -1.270952 0.186074
132.345911 28.409463 -1.274626 0.166303
132.345911 38.307288 -1.280934 0.145320
132.345911 51.653503 -1.289198 0.124393
132.345911 69.649526 -1.294137 0.107517
